algo,taille,serie,temps,hauteur
vorace,10000,7,0.002283 ,3897474
vorace,10000,7,0.002219 ,3768277
vorace,10000,7,0.002284 ,3943186
vorace,10000,7,0.002274 ,3987441
vorace,10000,7,0.002603 ,4072477
vorace,10000,7,0.002230 ,3900059
vorace,10000,7,0.002550 ,4030842
vorace,10000,7,0.002287 ,3962359
vorace,10000,7,0.002293 ,4019178
vorace,10000,2,0.002217 ,4008116
vorace,10000,2,0.002807 ,4243235
vorace,10000,2,0.002220 ,4075682
vorace,10000,2,0.002818 ,4063435
vorace,10000,2,0.002277 ,4256321
vorace,10000,2,0.002439 ,4032810
vorace,10000,2,0.002218 ,4188353
vorace,10000,2,0.002708 ,4025660
vorace,10000,2,0.002204 ,4145163
vorace,10000,2,0.002611 ,4108878
vorace,10000,9,0.002216 ,3882596
vorace,10000,9,0.002703 ,3868250
vorace,10000,9,0.002268 ,4129817
vorace,10000,9,0.002494 ,3993641
vorace,10000,9,0.002216 ,3913990
vorace,10000,9,0.002667 ,4027813
vorace,10000,9,0.002217 ,3839218
vorace,10000,9,0.002506 ,4076699
vorace,10000,9,0.002212 ,4008535
vorace,10000,9,0.002488 ,4134817
vorace,10000,5,0.002300 ,3687635
vorace,10000,5,0.002459 ,3807487
vorace,10000,5,0.002223 ,3837653
vorace,10000,5,0.002436 ,3829387
vorace,10000,5,0.002201 ,3829903
vorace,10000,5,0.002878 ,3772145
vorace,10000,5,0.002267 ,3858929
vorace,10000,5,0.002743 ,3756383
vorace,10000,5,0.002227 ,3834639
vorace,10000,5,0.002583 ,4012290
vorace,100,1,0.000018 ,3450
vorace,100,1,0.000028 ,3003
vorace,100,1,0.000018 ,3187
vorace,100,1,0.000018 ,3085
vorace,100,1,0.000018 ,3470
vorace,100,1,0.000018 ,2990
vorace,100,1,0.000018 ,3206
vorace,100,1,0.000019 ,3257
vorace,100,1,0.000023 ,3406
vorace,100,1,0.000024 ,3395
vorace,100000,8,0.026372 ,134763278
vorace,100000,8,0.026261 ,134118028
vorace,100000,8,0.027105 ,134946513
vorace,100000,8,0.026316 ,131062720
vorace,100000,8,0.027100 ,132206789
vorace,100000,8,0.026260 ,133318744
vorace,100000,8,0.026291 ,132710382
vorace,100000,8,0.026262 ,135307529
vorace,100000,8,0.026397 ,134233852
vorace,100000,8,0.026302 ,133151508
vorace,1000,10,0.000186 ,123941
vorace,1000,10,0.000186 ,132418
vorace,1000,10,0.000186 ,129432
vorace,1000,10,0.000246 ,130104
vorace,1000,10,0.000241 ,123194
vorace,1000,10,0.000185 ,124025
vorace,1000,10,0.000306 ,125595
vorace,1000,10,0.000186 ,128199
vorace,1000,10,0.000186 ,129123
vorace,1000,10,0.000185 ,126077
vorace,10000,10,0.002642 ,4420054
vorace,10000,10,0.002262 ,4378007
vorace,10000,10,0.002256 ,4378002
vorace,10000,10,0.002240 ,4552767
vorace,10000,10,0.002811 ,4510570
vorace,10000,10,0.002240 ,4508834
vorace,10000,10,0.002336 ,4396823
vorace,10000,10,0.002230 ,4340830
vorace,10000,10,0.002607 ,4315215
vorace,10000,10,0.002236 ,4487958
vorace,100,10,0.000018 ,3895
vorace,100,10,0.000019 ,3722
vorace,100,10,0.000018 ,4051
vorace,100,10,0.000019 ,4299
vorace,100,10,0.000026 ,3844
vorace,100,10,0.000018 ,3974
vorace,100,10,0.000018 ,3737
vorace,100,10,0.000018 ,3743
vorace,100,10,0.000018 ,4004
vorace,100,10,0.000019 ,4407
vorace,5000,9,0.001042 ,1469636
vorace,5000,9,0.001045 ,1311510
vorace,5000,9,0.001036 ,1415930
vorace,5000,9,0.001477 ,1497616
vorace,5000,9,0.001046 ,1435919
vorace,5000,9,0.001285 ,1484931
vorace,5000,9,0.001066 ,1439802
vorace,5000,9,0.001039 ,1419007
vorace,5000,9,0.001084 ,1549887
vorace,5000,9,0.001039 ,1486783
vorace,500,8,0.000094 ,51258
vorace,500,8,0.000091 ,44725
vorace,500,8,0.000092 ,51137
vorace,500,8,0.000090 ,50190
vorace,500,8,0.000116 ,46699
vorace,500,8,0.000128 ,55410
vorace,500,8,0.000125 ,52566
vorace,500,8,0.000157 ,50299
vorace,500,8,0.000090 ,51115
vorace,500,8,0.000091 ,53142
vorace,100000,2,0.026290 ,133509570
vorace,100000,2,0.026995 ,134312857
vorace,100000,2,0.026429 ,134631691
vorace,100000,2,0.026704 ,133685793
vorace,100000,2,0.027376 ,129983832
vorace,100000,2,0.026593 ,132804289
vorace,100000,2,0.026320 ,134925606
vorace,100000,2,0.027078 ,130461298
vorace,100000,2,0.026229 ,130491781
vorace,100000,2,0.026507 ,133866473
vorace,100,5,0.000018 ,3214
vorace,100,5,0.000018 ,2928
vorace,100,5,0.000018 ,3336
vorace,100,5,0.000024 ,2931
vorace,100,5,0.000025 ,3496
vorace,100,5,0.000027 ,3443
vorace,100,5,0.000027 ,3505
vorace,100,5,0.000026 ,3461
vorace,100,5,0.000025 ,3398
vorace,100,5,0.000018 ,3622
vorace,5000,7,0.001063 ,1492709
vorace,5000,7,0.001062 ,1457126
vorace,5000,7,0.001218 ,1445418
vorace,5000,7,0.001115 ,1438148
vorace,5000,7,0.001039 ,1479461
vorace,5000,7,0.001040 ,1477686
vorace,5000,7,0.001103 ,1411232
vorace,5000,7,0.001069 ,1438597
vorace,5000,7,0.001038 ,1472802
vorace,5000,7,0.001038 ,1399513
vorace,10000,4,0.002253 ,4031665
vorace,10000,4,0.002171 ,4125066
vorace,10000,4,0.003178 ,4166841
vorace,10000,4,0.002285 ,4029447
vorace,10000,4,0.002517 ,3919705
vorace,10000,4,0.002217 ,3849888
vorace,10000,4,0.002558 ,4167060
vorace,10000,4,0.002253 ,4155169
vorace,10000,4,0.002677 ,4032072
vorace,10000,4,0.002196 ,4217230
vorace,100,4,0.000018 ,4352
vorace,100,4,0.000018 ,4129
vorace,100,4,0.000023 ,4351
vorace,100,4,0.000023 ,4808
vorace,100,4,0.000025 ,4596
vorace,100,4,0.000018 ,4255
vorace,100,4,0.000018 ,4637
vorace,100,4,0.000022 ,4562
vorace,100,4,0.000025 ,3855
vorace,100,4,0.000024 ,4131
vorace,500,3,0.000117 ,54963
vorace,500,3,0.000123 ,49955
vorace,500,3,0.000089 ,50520
vorace,500,3,0.000090 ,48733
vorace,500,3,0.000091 ,52875
vorace,500,3,0.000089 ,50564
vorace,500,3,0.000088 ,47416
vorace,500,3,0.000113 ,48193
vorace,500,3,0.000114 ,48615
vorace,500,3,0.000118 ,51528
